Date,Fajr,Sunrise,Zenith,Dhuhr,Asr,Maghrib,Isha
2-Apr,4:53,6:18,1:52,12:35,5:05,6:55,8:17
3-Apr,4:52,6:17,11:52,12:35,5:05,6:55,8:18
4-Apr,4:50,6:16,11:52,12:34,5:06,6:56,8:19
5-Apr,4:48,6:14,11:52,12:34,5:06,6:57,8:20
6-Apr,4:47,6:13,11:51,12:34,5:07,6:57,8:21
7-Apr,4:45,6:12,11:51,12:34,5:07,6:58,8:22
8-Apr,4:43,6:11,11:50,12:33,5:08,6:59,8:23
9-Apr,4:42,6:09,11:49,12:33,5:08,7:00,8:24
10-Apr,4:41,6:08,11:49,12:33,5:09,7:01,8:25
11-Apr,4:39,6:06,11:49,12:33,5:09,7:01,8:26
12-Apr,4:38,6:05,11:48,12:32,5:10,7:02,8:27
13-Apr,4:36,6:04,11:48,12:32,5:10,7:03,8:28
14-Apr,4:34,6:02,11:47,12:32,5:10,7:04,8:29
15-Apr,4:33,6:01,11:47,12:32,5:11,7:05,8:30
16-Apr,4:32,5:58,11:47,12:31,5:11,7:05,8:31
17-Apr,4:31,5:57,11:46,12:31,5:12,7:06,8:32
18-Apr,4:30,5:56,11:46,12:31,5:12,7:07,8:33
19-Apr,4:28,5:55,11:46,12:30,5:13,7:08,8:34
20-Apr,4:27,5:55,11:45,12:30,5:13,7:09,8:35
21-Apr,4:25,5:53,11:45,12:30,5:13,7:10,8:36
22-Apr,4:23,5:52,11:45,12:30,5:13,7:10,8:37
23-Apr,4:22,5:51,11:44,12:30,5:14,7:11,8:38
24-Apr,4:21,5:50,11:44,12:29,5:15,7:12,8:39
25-Apr,4:20,5:49,11:43,12:29,5:15,7:13,8:40
26-Apr,4:19,5:48,11:43,12:29,5:16,7:14,8:41
27-Apr,4:17,5:47,11:43,12:29,5:16,7:15,8:42
28-Apr,4:16,5:46,11:43,12:28,5:16,7:15,8:43
29-Apr,4:14,5:45,11:42,12:28,5:17,7:16,8:44
30-Apr,4:13,5:44,11:42,12:28,5:17,7:16,8:45
1-May,4:12,5:43,11:42,12:28,5:17,7:17,8:47
2-May,4:10,5:42,11:42,12:28,5:18,7:17,8:48
3-May,4:08,5:41,11:42,12:28,5:18,7:18,8:49
4-May,4:07,5:40,11:41,12:28,5:18,7:19,8:50
5-May,4:06,5:39,11:41,12:28,5:19,7:20,8:51
6-May,4:05,5:38,11:41,12:28,5:19,7:21,8:52
7-May,4:03,5:37,11:41,12:28,5:19,7:21,8:53
8-May,4:02,5:36,11:40,12:28,5:19,7:22,8:54
9-May,4:01,5:35,11:40,12:28,5:20,7:23,8:55
10-May,4:00,5:34,11:40,12:27,5:20,7:24,8:56
11-May,3:59,5:33,11:40,12:27,5:20,7:25,8:57
12-May,3:57,5:33,11:40,12:27,5:21,7:26,8:58
13-May,3:56,5:32,11:40,12:27,5:21,7:26,8:59
14-May,3:55,5:32,11:39,12:27,5:21,7:27,9:01
15-May,3:54,5:30,11:39,12:27,5:21,7:28,9:02
16-May,3:53,5:29,11:39,12:27,5:22,7:29,9:03
17-May,3:52,5:29,11:39,12:27,5:22,7:30,9:04
18-May,3:51,5:28,11:39,12:27,5:23,7:30,9:05
19-May,3:50,5:27,11:39,12:28,5:23,7:31,9:06
20-May,3:49,5:26,11:39,12:28,5:24,7:32,9:07
21-May,3:48,5:25,11:39,12:28,5:24,7:32,9:08
22-May,3:47,5:25,11:38,12:28,5:24,7:33,9:09
23-May,3:46,5:24,11:38,12:28,5:24,7:34,9:10
24-May,3:45,5:24,11:38,12:28,5:25,7:35,9:11
25-May,3:44,5:24,11:38,12:28,5:25,7:35,9:12
26-May,3:43,5:24,11:38,12:28,5:26,7:36,9:13
27-May,3:42,5:23,11:38,12:28,5:27,7:37,9:14
28-May,3:41,5:23,11:38,12:28,5:27,7:37,9:15
29-May,3:41,5:23,11:38,12:28,5:27,7:38,9:16
30-May,3:40,5:22,11:38,12:28,5:27,7:39,9:17
31-May,3:39,5:22,11:38,12:28,5:27,7:39,9:18
1-Jun,3:39,5:21,11:38,12:29,5:28,7:40,9:19
2-Jun,3:39,5:21,11:38,12:29,5:28,7:40,9:20
3-Jun,3:38,5:21,11:38,12:29,5:28,7:40,9:20
4-Jun,3:37,5:20,11:38,12:29,5:29,7:41,9:21
5-Jun,3:37,5:20,11:38,12:29,5:29,7:41,9:21
6-Jun,3:37,5:20,11:38,12:30,5:29,7:42,9:22
7-Jun,3:37,5:20,11:38,12:30,5:29,7:42,9:23
8-Jun,3:37,5:20,11:39,12:30,5:30,7:43,9:24
9-Jun,3:37,5:20,11:39,12:30,5:31,7:44,9:25
10-Jun,3:36,5:19,11:39,12:30,5:31,7:44,9:25
11-Jun,3:36,5:19,11:39,12:30,5:31,7:44,9:25
12-Jun,3:36,5:19,11:39,12:31,5:31,7:45,9:26
13-Jun,3:36,5:19,11:39,12:31,5:31,7:45,9:27
14-Jun,3:35,5:19,11:39,12:31,5:32,7:46,9:28
15-Jun,3:35,5:19,11:39,12:31,5:32,7:46,9:28
16-Jun,3:35,5:19,11:39,12:32,5:32,7:47,9:29
17-Jun,3:35,5:19,11:39,12:32,5:32,7:47,9:30
18-Jun,3:35,5:19,11:39,12:32,5:33,7:47,9:30
19-Jun,3:35,5:19,11:40,12:32,5:33,7:47,9:30
20-Jun,3:35,5:20,11:40,12:33,5:33,7:48,9:30
21-Jun,3:36,5:20,11:40,12:33,5:33,7:48,9:31
22-Jun,3:36,5:20,11:41,12:33,5:34,7:49,9:31
23-Jun,3:36,5:20,11:41,12:33,5:34,7:49,9:31
24-Jun,3:36,5:21,11:41,12:33,5:34,7:49,9:31
25-Jun,3:37,5:21,11:41,12:33,5:34,7:50,9:31
26-Jun,3:37,5:21,11:41,12:34,5:34,7:50,9:31
27-Jun,3:37,5:21,11:42,12:34,5:34,7:50,9:31
28-Jun,3:38,5:22,11:42,12:34,5:35,7:50,9:31
29-Jun,3:38,5:22,11:42,12:34,5:35,7:50,9:31
30-Jun,3:39,5:23,11:43,12:35,5:35,7:50,9:31
1-Jul,3:39,5:23,11:43,12:35,5:35,7:50,9:31
2-Jul,3:40,5:23,11:43,12:35,5:35,7:50,9:31
3-Jul,3:40,5:23,11:43,12:35,5:35,7:50,9:31
4-Jul,3:41,5:24,11:44,12:35,5:35,7:50,9:31
5-Jul,3:42,5:24,11:44,12:35,5:35,7:50,9:31
6-Jul,3:43,5:25,11:44,12:36,5:35,7:49,9:30
7-Jul,3:44,5:25,11:45,12:36,5:35,7:49,9:30
8-Jul,3:45,5:26,11:45,12:36,5:35,7:49,9:30
9-Jul,3:46,5:27,11:45,12:36,5:35,7:49,9:30
10-Jul,3:46,5:28,11:45,12:36,5:35,7:48,9:29
11-Jul,3:47,5:29,11:46,12:36,5:35,7:48,9:29
12-Jul,3:47,5:29,11:46,12:37,5:35,7:47,9:28
13-Jul,3:48,5:30,11:46,12:37,5:35,7:47,9:28
14-Jul,3:49,5:30,11:47,12:37,5:35,7:47,9:27
15-Jul,3:50,5:30,11:47,12:37,5:35,7:46,9:25
16-Jul,3:51,5:31,11:47,12:37,5:35,7:46,9:24
17-Jul,3:52,5:31,11:47,12:37,5:35,7:45,9:23
18-Jul,3:53,5:32,11:47,12:37,5:34,7:45,9:22
19-Jul,3:54,5:33,11:48,12:37,5:34,7:44,9:21
20-Jul,3:55,5:34,11:48,12:37,5:34,7:44,9:21
21-Jul,3:56,5:34,11:48,12:37,5:34,7:43,9:20
22-Jul,3:57,5:35,11:48,12:37,5:34,7:43,9:19
23-Jul,3:58,5:36,11:48,12:37,5:34,7:42,9:18
24-Jul,3:59,5:36,11:49,12:38,5:33,7:42,9:17
25-Jul,4:00,5:37,11:49,12:38,5:33,7:41,9:16
26-Jul,4:01,5:38,11:49,12:38,5:33,7:40,9:15
27-Jul,4:02,5:39,11:49,12:38,5:33,7:40,9:14
28-Jul,4:03,5:39,11:49,12:38,5:32,7:39,9:13
29-Jul,4:04,5:40,11:49,12:38,5:32,7:38,9:12
30-Jul,4:05,5:40,11:49,12:37,5:32,7:37,9:11
31-Jul,4:06,5:41,11:49,12:37,5:31,7:37,9:11
1-Aug,4:07,5:42,11:49,12:37,5:31,7:36,9:09
2-Aug,4:08,5:42,11:50,12:37,5:31,7:35,9:08
3-Aug,4:09,5:42,11:50,12:37,5:31,7:34,9:07
4-Aug,4:10,5:43,11:50,12:37,5:30,7:33,9:06
5-Aug,4:12,5:44,11:50,12:37,5:30,7:32,9:05
6-Aug,4:13,5:45,11:50,12:37,5:30,7:31,9:04
7-Aug,4:14,5:46,11:50,12:37,5:30,7:30,9:03
8-Aug,4:15,5:46,11:50,12:37,5:30,7:29,9:01
9-Aug,4:16,5:47,11:50,12:37,5:29,7:28,9:00
10-Aug,4:17,5:48,11:50,12:36,5:29,7:27,8:58
11-Aug,4:18,5:49,11:50,12:36,5:28,7:26,8:57
12-Aug,4:19,5:50,11:50,12:36,5:28,7:25,8:55
13-Aug,4:20,5:51,11:50,12:36,5:28,7:24,8:53
14-Aug,4:21,5:51,11:50,12:36,5:28,7:23,8:53
15-Aug,4:22,5:52,11:50,12:36,5:27,7:22,8:51
16-Aug,4:23,5:52,11:50,12:36,5:27,7:21,8:49
17-Aug,4:24,5:53,11:50,12:35,5:27,7:20,8:48
18-Aug,4:25,5:53,11:49,12:35,5:27,7:19,8:47
19-Aug,4:26,5:54,11:49,12:35,5:26,7:18,8:46
20-Aug,4:27,5:55,11:49,12:35,5:26,7:17,8:45
21-Aug,4:28,5:56,11:49,12:35,5:26,7:16,8:42
22-Aug,4:29,5:56,11:49,12:35,5:26,7:14,8:40
23-Aug,4:30,5:57,11:49,12:34,5:25,7:12,8:39
24-Aug,4:31,5:58,11:49,12:34,5:25,7:11,8:38
25-Aug,4:32,5:58,11:49,12:34,5:25,7:10,8:36
26-Aug,4:34,5:59,11:49,12:34,5:24,7:09,8:34
27-Aug,4:35,5:59,11:49,12:34,5:24,7:08,8:32
28-Aug,4:35,6:00,11:48,12:34,5:23,7:06,8:31
29-Aug,4:35,6:01,11:48,12:34,5:23,7:05,8:30
30-Aug,4:36,6:02,11:48,12:34,5:23,7:04,8:28
31-Aug,4:36,6:03,11:48,12:34,5:23,7:04,8:28
1-Sep,4:39,6:04,11:47,12:31,5:09,7:01,8:24
2-Sep,4:39,6:04,11:47,12:31,5:08,6:59,8:23
3-Sep,4:40,6:05,11:47,12:31,5:07,6:58,8:22
4-Sep,4:41,6:06,11:47,12:30,5:06,6:57,8:20
5-Sep,4:42,6:07,11:47,12:30,5:05,6:55,8:19
6-Sep,4:43,6:08,11:46,12:29,5:04,6:54,8:17
7-Sep,4:44,6:08,11:46,12:29,5:03,6:52,8:16
8-Sep,4:45,6:09,11:45,12:28,5:02,6:51,8:14
9-Sep,4:45,6:09,11:45,12:28,5:02,6:51,8:14
10-Sep,4:46,6:10,11:45,12:28,5:00,6:48,8:11
11-Sep,4:47,6:10,11:44,12:28,4:58,6:47,8:10
12-Sep,4:47,6:11,11:44,12:27,4:57,6:46,8:08
13-Sep,4:48,6:11,11:44,12:27,4:56,6:45,8:07
14-Sep,4:49,6:12,11:44,12:26,4:55,6:44,8:06
15-Sep,4:50,6:12,11:44,12:26,4:54,6:43,8:05
16-Sep,4:51,6:14,11:43,12:25,4:53,6:41,8:03
17-Sep,4:52,6:14,11:43,12:25,4:52,6:39,8:01
18-Sep,4:53,6:15,11:43,12:25,4:51,6:38,8:00
19-Sep,4:53,6:16,11:43,12:25,4:49,6:37,7:58
20-Sep,4:54,6:17,11:42,12:24,4:48,6:35,7:56
21-Sep,4:55,6:17,11:42,12:24,4:47,6:33,7:54
